"productid","EanCode","Volume","Weight","Height","Length","Width","price10","price14","price16","ProductDescription","NutritionDescription","IngredientsDescription","ProductName","ImageUrl","VatRate","CreationDate","LastmodifiedDate","suppliername","NewProduct","Origin","AdultProduct","Season","Orderfactor","LastReceiptDay","LastSalesDay","TruckRouteOpt"
1232,"74603","0.6","0.33",,,,19.95,19.95,19.95,,,,Aubergine Klass1,aubergine-klass1.jpg,12,2007-10-27 15:36:22,2019-04-16 11:59:58,Frukt & Grönt,1,88,0,,"1",,,
1233,"4082","0.5","0.38",,,,16.95,16.95,16.95,"Rödlök packade i strumpor. Innehåller 2st lökar med jämn fin storlek 60-80mm. Packade i Sverige.  <img src=""https://cdn2.cdnme.se/4618866/8-3/lok_rod_2-p_mathem_59dcc8c5e087c36fae3253a0.jpg"" alt="""" class=""image"" data-oid=""59dcc8c5e087c36fae3253a0"" />","Näringsvärde per 100g. Energi: 136kJ/32 kcal, Protein: 1g, Fett: 0,1g, Mättade fettsyror 0g, Kolhydrater: 6g, Fibrer: 1g, C-vitamin: 6mg, D-vitamin: 0mcg, Folat: 20mcg, Järn: 0,3mg, Zink: 0,2mg, Kalcium: 21mg.",,Rödlök 2-pack Klass1,rodlok-2-pack-klass1-2.jpg,12,2007-10-27 15:36:22,2019-04-12 09:45:42,Frukt & Grönt,0,88,0,,"1",,,
1237,"4088","0.4","0.2",,,,16,16,16,Röd Paprika Klass 1.   Den röda paprikan har en mild och söt smak då den mognar längre på plantan i jämförelse med den gröna som är starkare i smaken.,"Näringsvärde per 100g. Energi: 107kJ/26 kcal, Protein: 1g, Fett: 0,1g, Mättade fettsyror: 0g, Kolhydrater: 4g, Fibrer: 2g, C-vitamin: 159mg, D-vitamin: 0mcg, Folat: 40mcg, Järn: 0,3mg, Zink: 0,2mg, Kalcium: 6mg.",,Paprika Röd Klass1,paprika-rod-klass1-7.jpg,12,2007-10-27 15:36:22,2019-05-03 09:54:09,Frukt & Grönt,1,90,0,,"1",,,
1239,"4091","0.6","0.5",,,,24.95,24.95,24.95,"Sötpotatis är oftast större än vanlig potatis och är, namnet till trots, inte alls släkt med potatis. Oftast är sötpotatisen avlång och oregelbunden i formen med ett skal som är ljus brunt eller mot rött.  Sötpotatisens kött är gulorange, gulvitt eller lila där den gulorangea är den sort som oftast säljs i Sverige. Smaken är sötare än hos vanlig potatisen och användningsområdet är därmed stort då den kan användas både till matlagning och bakning.  ",,,Sötpotatis ca 500g Klass1,sotpotatis-500g-klass1-1.jpg,12,2007-10-27 15:36:22,2019-05-08 08:18:44,Frukt & Grönt,1,120,0,,"1",,,
1247,"4128","0.25","0.135",,,,8.95,8.95,8.95,,,,Äpple Pink Lady Klass1,apple-pink-lady-klass1-1.jpg,12,2007-10-27 15:36:22,2019-04-12 09:45:02,Frukt & Grönt,0,80,0,,"1",,,
1251,"4139","0.2","0.18","80","70","75",9.95,9.9,9.95,"Granny Smith är ett blankt äpple i klargrön färg med vitt, fast fruktkött som har frisk och syrlig smak. När äpplet blivit riktigt moget är fruktköttet mjukare och smaken mer söt.  Granny Smith har lång hållbarhet och är ett bra dessertäpple som passar bra till allt från pajer och kompotter till att äta rårivet eller ugnsstekt.  ",,,Äpple Granny Smith Klass1,apple-granny-smith-klass1-2.jpg,12,2007-10-27 15:36:22,2019-04-12 10:12:49,Frukt & Grönt,1,80,0,,"1",,,
1255,"4173","0.4","0.2","80","70","70",9.95,9.95,9.95,"Royal Gala Klass 1. <br/> <br/>Royal Gala är en korsning mellan Cox Orange, Pippin, Red Delicious och Golden Delicious och härstammar från Nya Zeeland. Fruktköttet är vitt, mycket krispigt och saftigt. Smaken är söt, frisk och aromatisk.","Näringsvärde per 100g. Energi: 52kcal/218kJ, Vatten: 85g, Protein: 0,4g, Fett: 0,1g, Kolhydrater: 12,2g, Kostfiber: 1,8g, Kalium: 134mg, ß-karoten: 30µg, C-vitamin: 8mg.",,Äpple Royal Gala Klass1,apple-royal-gala-klass1-2.jpg,12,2007-10-27 15:36:22,2019-04-12 10:48:02,Frukt & Grönt,0,80,0,,"1",,,
1321,"74304","0.25","0.17",,,,9.95,9.95,9.95,Citron Klass 1.   Den kom ursprungligen från trakten söder om Himalaya och var känd i Kina 500 år f Kr. På 1000-talet kom citronen till Europa och år 1493 tog Columbus den med till Haiti.,"Näringsvärde per 100g. Energi: 170kJ/41 kcal, Protein: 1g, Fett: 0,3g, Mättade fettsyror: 0g, Kolhydrater: 7g, Fibrer: 2g, C-vitamin: 53mg, D-vitamin:	0mcg, Folat: 11mcg, Järn: 0,1mg, Zink: 0,1mg, Kalcium: 26mg.",,Citron Klass1,citron-klass1-2.jpg,12,2007-10-27 15:36:22,2019-04-12 10:14:17,Frukt & Grönt,1,90,0,,"1",,,
1327,"4344","1.5","1",,,,36.95,36.95,39.95,"Saftig och vackert gul honungsmelon som är god som den är, att ha i en sallad eller som dessert. Honungsmelonen är en mindre nätmelon med ljusgrönt fruktkött som är saftigt och sött.   Hållbarhet och förvaring: 16-20 dagar vid 10-14°C, 10-14 dagar vid 20°C. ",,,Melon Honung Klass1,melon-honung-1_1kg-1.jpg,12,2007-10-27 15:36:22,2019-05-03 11:34:21,Frukt & Grönt,1,114,0,,"1",,,
1330,"4326","1.2","0.85",,,,36.95,36.95,36.95,,,,Melon Galia Klass1,melon-galia-klass1.jpg,12,2007-10-27 15:36:22,2019-05-10 09:43:49,Frukt & Grönt,1,90,0,,"1",,,
1342,"94379","0.2","0.12",,,,11,10.899999618530273,10.899999618530273,,,,Nektarin EKO Klass1,nektarin-klass-1-2.jpg,12,2007-10-27 15:36:22,2019-05-13 13:32:29,Frukt & Grönt,0,90,0,,"1",,,
