TagID,TagName,categoryname,categoryid
2797,serano,Serranoskinka,765
2798,seranno,Serranoskinka,765
2800,gladpack,Plastfolie,1066
2801,plastfilm,Plastfolie,1066
2802,avfallspåsar,Avfallspåsar,3986
2803,soppåsar,Avfallspåsar,3986
2804,rostbröd,"Formfranska & Toast",1766
2804,rostbröd,"Toast & Rostbröd",3136
2805,disktrasor,Diskduk,3965
2806,maskindiskmedel,Maskindiskmedel,2896
2807,formbröd,Formfranska,3135
2808,zuccini,Zucchini,166
2808,zuccini,Squash,3496
2809,squach,Zucchini,166
2809,squach,Squash,3496
2810,squash,Zucchini,166
2811,zuchini,Zucchini,166
2812,digestivekex,Digestive,1133
2813,kycklingkorv,Kycklinggrillkorv,2168
2814,sojamjölk,"Sojadryck Naturell",3779
2815,mangochutney,"Mango Chutney",1123
2816,"mango chutney","Mango Chutney",1123
2817,"vitaminer ","Vitaminer & Mineraler",363
2818,"creme freish","Creme Fraiche",2903
2819,cremefraiche,"Creme Fraiche",2903
2820,"creme fräch","Creme Fraiche",2903
2821,"creme fraise","Creme Fraiche",2903
2824,mandel,Mandlar,1233
2825,citroner,Citron,731
2826,mjök,Mjölk,374
2827,vaniljglass,Vaniljglass,275
2828,soyadryck,"Havre-, Soja-, Mandel-, Hasselnöts- & Risdryck",511
2829,soyamjölk,"Havre-, Soja-, Mandel-, Hasselnöts- & Risdryck",511
2830,klementin,Småcitrus,3230
2831,hoisin,"Hoi Sin Sauce",2489
2833,dajm,Daim,2860
2834,måltidsdryck,"Måltidsdryck - koncentrat",1165
2835,libro,Libero,3938
2836,salcc,Salsiccia,2880
2837,kryddnejlikor,Kryddnejlikor,2179
2837,kryddnejlikor,Nejlikor,1818
2838,kryddnejlika,Nejlikor,1818
2838,kryddnejlika,Kryddnejlikor,2179
2839,hälsokost,"Hälsa & Träning",3831
2840,vörtbröd,Vörtbröd,3832
2840,vörtbröd,Julvört,3872
2841,julvört,Julvört,3872
2841,julvört,Vörtbröd,3832
2842,glödlampa,Lågenergilampor,2995
