TagID,TagName,CreationDate
1,Pålägg,"2009-03-24 10:43:39"
2,Smörgåspålägg,"2009-03-24 10:43:39"
3,Skinka,"2009-03-24 10:43:39"
4,clementin,"2009-04-16 13:37:24"
5,mandarin,"2009-04-16 13:37:24"
6,mandoras,"2009-04-16 13:37:24"
7,satsumas,"2009-04-16 13:37:24"
8,morötter,"2009-04-16 13:37:54"
9,minimorötter,"2009-04-16 13:38:23"
11,morotsticks,"2009-04-16 13:39:47"
12,bananer,"2009-04-16 13:40:07"
13,kaviar,"2009-04-16 13:40:54"
14,storkornskaviar,"2009-04-16 13:40:54"
15,storbitsrom,"2009-04-16 13:41:08"
16,stenbitsrom,"2009-04-16 13:43:47"
17,köttfärs,"2009-04-16 13:45:38"
18,diskmedel,"2009-04-17 09:26:05"
19,"Ingefära Mald","2009-04-22 14:17:13"
20,rödbetor,"2009-04-28 15:12:06"
21,rödbeta,"2009-04-28 15:13:13"
22,vijay,"2009-04-30 07:13:03"
23,vijayakanth,"2009-05-08 07:21:12"
24,havremjölk,"2009-05-29 12:58:07"
25,powercaps,"2009-06-01 15:22:17"
26,maskindisktabletter,"2009-06-01 15:23:14"
27,färskpotatis,"2009-06-04 14:10:54"
28,rädisor,"2009-06-05 09:13:56"
29,joghurt,"2009-06-05 09:13:56"
30,joughurt,"2009-06-05 09:13:56"
31,yoghourt,"2009-06-05 09:13:56"
32,youghurt,"2009-06-05 09:13:56"
33,yohurt,"2009-06-05 09:13:56"
34,yoghurt,"2009-06-05 09:13:56"
35,"eget bröd","2009-06-05 09:13:56"
36,butiksbakat,"2009-06-05 09:13:56"
37,vindruvor,"2009-06-14 21:40:50"
38,isbergssallad,"2009-06-16 13:51:37"
39,isbergssallat,"2009-06-16 13:51:37"
40,sallad,"2009-06-16 13:51:37"
41,sallat,"2009-06-16 13:51:37"
42,Vårlök,"2009-06-23 08:31:29"
43,bönor,"2009-06-23 08:34:31"
44,vaxbönor,"2009-06-23 08:34:31"
45,brytbönor,"2009-06-23 08:38:04"
46,"bönor bryt","2009-06-23 08:38:04"
47,svamp,"2009-06-24 08:22:07"
48,vilt,"2009-07-08 14:41:40"
49,kalops,"2009-07-08 15:12:41"
50,Blöja,"2009-07-09 11:30:27"
