categoryid,categoryname,parentcategoryid,categoryurl,ispublic,categoryintroduction,title,metadescription
19,"Mejeri & Ost",NULL,mejeri-o-ost,1,"På MatHems välsorterade avdelning för Mejeri & Ost handlar du de bästa ostarna och kvalitetshöga mejeriprodukter. Mejeri- och ostavdelningen erbjuder många olika sorters ostar, ägg, yoghurt,filmjölk, smör, margarin, grädde, och mycket annat. Vi erbjuder ekologiska och glutenfria, mjölkproteinfria och laktosfria mejeriprodukter. Leverans av mejeri och ost sker i våra egna kylbilar.","Köp mejeri och ost på nätet av högsta kvalitet på MatHem","Handla hem de bästa ostarna och kvalitetshöga mejeriprodukter utifrån MatHems välsorterade avdelning för Mejeri & Ost. Leverans sker i våra egna kylbilar efter egen tid."
22,"Hem & Hushåll",NULL,hem-o-hygien,1,,,"På MatHem.se beställer du dina hygienvaror på nätet. Här hittar du säkert bra produkter till rätt priser. Hemkörning av hygienvaror sker efter önskad tid."
23,"Disk & Städ",22,disk--stad-o-tvatt,1,"Allt du behöver inom disk och städ. Diskmedel trasor och rengöringsmedel - välj bland välkända varumärken och mängder av olika dofter. För den som vill ha ekologiska produkter finns även detta.",,
24,Glass,14,glass-o-tillbehor,1,"Glasspinnar och strutar, glasstårtor och isglass, här finns glass i mängder! Här hittar du även populära glassar från Ben & Jerry´s, perfekt att ha hemma i frysen till kalas, varma dagar eller då man helt enkelt blir sugen.",,
25,"Ris & Gryn",5,pasta--ris-m-m,1,,,
26,"ej klass",3,ej-klass,1,NULL,NULL,NULL
28,"Servetter, Ljus & Engångsartiklar",22,duka-o-servera,1,"Duka fint med ljus, vackra servetter, dukar och servetthållare. Här finns även ett stort utbud av plast- och papperstallrikar, glas och bestick som blir perfekt då det är dags att duka upp till fest! Välj bland flera olika färger och modeller.",,
34,Baktillbehör,4859,baktillbehor,1,,,
35,Hundmat,6,hundmat-o-tillbehor,1,"Massor med hundmat i allt från portionsförpackningar till påsar på flera kilo. Här finns också roliga tillbehör som hundschampoo, tuggpinnar och hundbajspåsar.",,
36,Fågelmat,6,fagelmat,1,"Frömix till din burfågel eller varför inte ladda med talgbollar eller liknande till vinterns småfåglar som söker mat ute i det kalla?",,
37,Kattmat,6,kattmat-o-tillbehor,1,"Whiskas, Pussi, Sheba eller Friskies, oavsett vilket favorit era katter har så hittar ni den med stor sannolikhet i vårt stora sortiment. Här hittar du även praktisk kattsand - beställ hem via oss på MatHem så slipper du bära kassar själv, vi levererar hem till dig!",,
39,Snacks,14,chips-o-snacks,1,"Rädda fredagsmyset med en beställning av snacks från MatHem! Här hittar du både klassiska snacks och nya smaker inom området så att du enkelt kan hitta gamla eller nya favoriter. Frossa loss bland mängder av chips och snacks här i vårt stora sortiment.",,
40,Barnvälling,2806,barnvalling,1,"Välling är många barns favorit till både morgon- och kvällsmål. I vårt sortiment finns massor av olika vällingsorter att välja bland, allt från små bebisar upp till lite större barn. Välj bland fullkornsvälling, havrevälling, smaksatt välling och mycket annat!",,
41,"Övrigt mjöl",4859,gryner-o-mjol,1,,,
42,Korv,11,korv,1,"Klassisk falukorv eller smakrik chorizo, grillad, stekt eller precis som den är? Alla har vi våra favoriter då det kommer till korv och vårt sortiment är både stort och varierande!",,
44,Salt,4,salt,1,,,
45,Kaffe,13,kaffe,1,"Upptäck hur lätt det är att köpa Kaffe på nätet på MatHem. Här finns ett stort utbud, allt från snabbkaffe, espresso och capuccino till kaffekapslar och bryggkaffe. Sök bland våra över 100 kaffesorter, där det även finns ekologiska varianter, ekonomipack eller premiumkvalité. Kaffe levereras hem till din dörr på en tid som du bestämmer. Snabba leveranser!","Köp kaffe på nätet | MatHem","På MatHem.se köper du enkelt och lätt kaffe på nätet av olika sorter och levereras hem till din dörr."
46,Potatis,5457,potatis,1,"Potatisen är en av de tacksammaste rotfrukterna eftersom den både är billig i inköp och går att variera på en mängd olika sätt. Bakad, ugnsstekt, råstekt, kokt, pommes frites eller en krämig potatisgratäng - Du har hungern, vi har potatisen och recepten!",,
47,"Godis med Leksak",478,godis-med-leksak,1,,,
48,Godisklubbor,478,godisklubbor,1,,,
50,"Godispåse - Choklad",4729,godispase---choklad,1,,,
51,"Tuggummi Sockerfritt",318,tuggummi-sockerfritt,1,,,
53,"Julgodis & Julnötter",3813,julgodis---fika-o--notter,1,,,
54,Blöjor,10,blojor,1,"Passa på att köpa hem blöjor med din matleverans. Här hittar du de allra populäraste produkterna från välkända varumärken. Oavsett om du behöver blöjor till den nyfödde eller till lite äldre barn så hittar du flera olika alternativ att välja mellan här.",,
55,Toalettpapper,4685,toalettpapper,1,"Känslan av att toalettpappret är slut är sällan angenäm, handla hem ett storpack så har du så att det räcker en längre tid. Lambi, Serla och Edet - här finns flera olika märken att välja mellan.",,
57,Kakmix,211,kakmix,1,"Kakmix är perfekt då du snabbt behöver baka något att bjuda på, kanske då det kommer oväntat besök eller då det vankas kalas och du inte vill baka en heldag. Välj bland olika smaker som kladdkaka, toscatårta och mycket annat.",,
58,"Praliner & Tryfflar",6238,praliner-o-presenter,1,"En ätbar present är aldrig fel att ge bort, och inte att få för den delen heller! Lyxiga chokladaskar, ljuvliga praliner eller krämiga tryfflar med olika smaksättningar, allt hittar du här på MatHem.",,
59,"Öl över 2,8%",6066,ol-over-2-8-,1,,,
61,Prästost,3059,prastost,1,,,
64,"Parmesan, Pecorino & Grana Padano",2,parmesan,1,,,
66,"Skinka pålägg",4682,skinka-palagg,1,,,
70,Pizza,4691,pizza,1,"Krispig botten, smakrikt pålägg och härligt smält ost, vad är väl godare än en nygräddad pizza? Här på MatHem kan vi erbjuda pizza i många olika varianter så att du enkelt kan hitta den smak du gillar bäst. Här finns även ekologiska alternativ för den som vill ha det.",,
71,Päron,3226,paron,1,"Päron är aldrig fel att ha hemma i fruktskålen eller att ta med i väskan för att äta det under dagen. Här finns flera olika päronsorter att välja mellan, bland annat ekologiska.",,
72,Citrusfrukter,3226,citrusfrukter,1,"Citrusfrukter sprängfyllda av c-vitaminer! Ladda fruktskålen med söta apelsiner, syrlig lime och sur citron. Använd i matlagning eller gör hemmagjord färskpressad juice.",,
73,Melon,3226,melon,1,"Ett sött mellanmål, en svalkande drink eller smoothie, melon är gott i nästan alla lägen! Här kan du bland annat hitta honungsmelon, vattenmelon, cantaloupe och galia. Gott såväl sommar som vinter och till både söta och salta rätter.",,
74,"Exotisk frukt",3226,exotisk-frukt,1,"Exotisk frukt är som nyttigt godis! Roliga former, härliga färger och underbara smaker som får oss att vilja beställa mer och mer. Vackert att lägga upp som dekoration eller att använda i fruktsallad eller smoothie.",,
75,Bär,12,bar,1,"Blåbär, jordgubbar, hallon - listan på smarriga bär kan göras lång. Och än länge kan listan över allt som bären kan användas till göras. Smarriga pajer, fruktsallader med bär, smoothies, tårtdekorationer, bara fantasin sätter gränser för dessa friskheter från skogen. Njut av vårt stora sortiment av bär här på sidan.",,
76,Grapefrukt,72,grapefrukt,1,,,
77,Nektarin,5407,nektarin,1,,,
78,Persika,77,persika,1,,,
79,Plommon,5407,plommon,1,"Saftiga plommon, supergoda precis som de är, eller använd frukten till att göra sylt eller marmelad. Dessa godbitar passar även bra att torka och äta som ett lite nyttigare godis.",,
80,Kiwi,3226,kiwi,1,"Välj bland fräscha kiwis i vårt sortiment, här finns även ekologiska alternativ för den som vill ha det. Köp hem en hel korg så kan ni frossa hela veckan på vitaminrik kiwi.",,
81,"Riven Pecorinoost",3064,riven-pecorinoost,1,,,
82,Lamm,5231,lamm,1,"Tillaga delikat lammkött till festen eller då ni vill lyxa till det där hemma en kväll. Här finns allt från lammfärs och lammracks till lammrostbiff och lammstek.",,
83,Lax,502,lax,1,"Varmrökt, kallrökt, gravad eller naturell, laxen är en underbar fisk som går att variera hur mycket som helst. Här på MatHem kan du välja bland mängder av lax och för den som vill ha ekologiskt finns naturligtvis även detta.",,
84,Skaldjur,18,skaldjur,1,"Skaldjur i alla de former, klicka dig fram till ljuvliga och smakrika godsaker som räkor, hummer, kräftor och sniglar. Lyxa till det under helgen eller unna dig en härligt god skaldjurssmörgås till kvällen. Här hittar du all sorts skaldjur från välkända leverantörer.",,
89,Racletteost,3062,racletteost,1,,,
93,Sveciaost,3059,sveciaost,1,,,
94,Goudaost,3059,goudaost,1,,,
97,"Getost, Chevre",3062,getost--chevre,1,"Getost, eller Chevré är en smakrik ost med många användningsområden. Chevré är lika god att servera till ostbrickan, att använda till gratinering eller i en sallad. Passa på att klicka hem en getost till helgmyset!",,"Getost, eller Chevré är en smakrik ost med många användningsområden. Chevré är lika god att servera till ostbrickan, att gratinera eller ha i en sallad."
98,"Dressing, Dip & Röror",4,soppor--sallader-o-roror,1,"Njut av fräscha sallader och smakrika röror! Här hittar du allt från röror som är perfekt att lägga på mackan, till mättande sallader som du enkelt har som måltid.",,
100,Fläskkött,5231,flaskkott,1,"Grillat, i en gryta, färs eller bacon - vad du än tänkt tillaga av fläskkött hittar du med stor sannolikhet rätt här. Här finns både färska och frusna köttbitar att välja mellan.",,
101,Wästgötaost,3059,wastgotaost,1,,,
105,Dressing,98,dressing,1,,,
107,Ägg,3818,agg,1,"Stekt, kokt, pocherat, omelett eller något helt annat - ägg kan man nästan inte få nog av och går dessutom att variera nästan hur mycket som helst! Här finns ägg i både större och mindre förpackningar att välja bland.",,
114,Kalkon,4442,kalkon,1,,,
117,Nötkött,5231,notkott,1,"Oxfilé till festen, entrecote till grillen eller varför inte högrev till en smarrig chili som får puttra länge och väl? Här finns allt och lite till inom kategorin nötkött.",,
119,"Salami pålägg",4682,salami-palagg,1,,,
120,Sylta,3051,sylta,1,"Sylta är en vanlig ingrediens då det vankas någon sorts buffé och på julbordet är den en given klassiker. Här kan du se vårt fina sortiment med sylta från olika leverantörer.",,
121,Pastejer,4682,pastejer,1,"Smakrika leverpastejer eller paté, ett riktigt gott smörgåspålägg eller som fyllning i en smarrig smörgåstårta. Här finns både bredbara varianter och färdigskivade som du enkelt kan sätta på mackan.",,
126,Röror,4701,oliver--pesto-mm,1,,,
127,Krutonger,3808,krutonger,1,"Krutonger, små fyrkantiga stekta brödbitar med ursprung i Frankrike. Riktigt gott att servera i en soppa, i en sallad eller bara som ett krispigt tillbehör till maten.",,
130,Stureost,3059,stureost,1,,,
132,Årgångsost,3059,argangsost,1,NULL,NULL,NULL
141,Edamerost,3059,edamerost,1,,,
146,Västerbottenost,3059,vasterbottenost,1,,,
147,Taleggioost,3062,taleggioost,1,,,
148,Tryffelbrieost,661,tryffelbrieost,1,,,
149,Torsk,502,torsk,1,"Torsken är en av våra vanligaste matfiskar, den har vitt fint kött som enkelt skivar sig efter tillagning. Torsken är utmärkt att koka, steka eller att ha i en gratäng.",,
151,Strömming,502,stromming,1,"Sill och strömming, mer klassiskt svenskt än så kan det knappast bli! Halstra, koka, stek - det spelar ingen större roll för gott är det. Välj bland flera olika varianter här på MatHem.",,
153,"Färsk tonfisk",5533,farsk-tonfisk,1,"Färsk tonfisk har ett rött vackert kött som gör att det nästan ser ut som en köttbit från nöt. En underbart lyxig fisk som gärna får vara lätt stekt. Vi på MatHem levererar fisken direkt hem till dig!",,
155,Räkor,84,rakor,1,"Räkor passar till så mycket! Har du ont om tid kan du köpa färdigskalade, vill du hellre skala själv har vi givetvis även oskalade som alternativ. Möjligheterna är många med räkor; räksallad, smakrika röror, som tillbehör till pasta eller varför inte som topping till en gratinerad fiskgratäng?",,
157,Löjrom,3217,lojrom,1,"Löjrommen, havets guld, är en riktig skatt som vi gärna unnar oss vid festliga tillfällen eller fina bjudningar. Toppa ett kex eller ett ägg, gör en löjromstoast eller något annat du tycker om - löjrommen ger finfin smak som får oss att längta efter mer.",,
158,Kålväxter,12,kalvaxter,1,"Frossa i vitaminrika, nyttiga kålväxter - här finns alla de varianter med massor av variationsmöjligheter då du ska laga mat. Koka klassisk broccoli, tillaga blomkålsmos eller gör krispiga grönkålschips. Här hittar du ett stort utbud med olika kålväxter.",,
159,Vitkål,158,vitkal,1,,,
160,Tomater,3227,tomater,1,"Hitta rätt bland våra många tomater i vårt sortiment; här finns allt från små körsbärstomater till härligt smakrika bifftomater. För den som vill handla ekologiskt finns naturligtvis även detta som alternativ.",,
161,Avokado,3226,avokado,1,"Finns det något mer tillfredsställande än att dela en fullständigt perfekt avokado? Den krämiga frukten är fylld av nyttigheter och ger en lång mättnadskänsla. God som den är, i en sallad eller gör en het guacamole.",,
162,Fänkål,158,fankal,1,"Grönsaken som många antingen gillar mycket eller inte alls! Fänkål är en smakrik grönsak som är gott i allt ifrån sallader till grytor. En riktig smakhöjare, här hittar du vårt sortiment med fänkål.",,
163,Äpplen,3226,applen,1,"Gröna eller röda, svenska, ekologiska, i hel påse eller styckevis - här finns massor av alternativ för dig som är sugen på äpplen. Använd till en härlig paj, till fruktsalladen eller som ett nyttigt mellanmål.",,
164,Banan,3226,banan,1,"Bananen är en mättande frukt som är perfekt att ha med i väskan som mellanmål eller som återhämtning efter ett jobbigt träningspass. Här kan du köpa bananer styckevis eller varför inte köpa hem en hel låda?",,
165,Sallat,3227,sallat,1,"Färdiga salladsblandningar eller hela salladshuvuden, här finns alternativ både för dig som vill ha en snabb och enkel lösning och för dig som vill göra allt från grunden. Välj mellan många olika sallader här på MatHem.",,
166,Zucchini,3227,zucchini,1,"Zucchini går att använda till både matlagning, bakning eller i en sallad. En smarrig ingrediens som gör maten saftig. Välj bland våra färska zucchinis här på sidan.",,
167,Aubergine,3227,aubergine,1,"Stekt, rostad, kokt eller gratinerad? Aubergine går att variera på många olika sätt. En tacksam grönsak som håller sig bra i kylen tills det är dags att använda den.",,
168,Lök,5457,lok,1,"Lök i olika former är en riktig smakhöjare i olika sorters mat, löken kan lyfta den simplaste rätten till något helt nytt! Välj bland allt från gul- och rödlök till purjolök, vitlök och rostad lök.",,
169,Paprika,3227,paprika,1,"Röd, gul, grön eller orange, här finns paprika i både olika former, färger och smaker. Gott i en sallad, i maten, på en smörgås eller att dippa i en god dressing. Här finns även ekologiska alternativ för den som vill ha det.",,
171,Ananas,74,ananas,1,"Ananas, en exotisk frukt som gör sig lika bra i en fruktsallad eller i en dessertpaj som till en mättande smoothie. Skär upp en färsk ananas och ställ fram som ett nyttigt alternativ till fredagsmyset.",,
173,Sparris,3227,sparris,1,"Vit och grön sparris, här hittar du både färsk, inlagd och fryst sparris. Sparris är en vitaminrik goding som bland annat passar sig väl till soppor, förrätter, i en paj eller helt enkelt smörstekt med en gnutta salt - mums!",,
174,Salladskål,158,salladskal,1,,,
175,Morötter,4781,morotter,1,,,
176,Blomkål,158,blomkal,1,,,
177,Selleri,3227,selleri,1,"Härligt doftande selleri som kan användas inom många olika kategorier för matlagning. Här på MatHem kan du klicka hem selleri tillsammans med mängder av andra varor!",,
180,"Övriga kryddor",3829,kryddor-ovriga,1,,,
181,Pepparrot,4781,pepparrot,1,,,
182,Svamp,12,svamp,1,"Färska, frysta och torkade svampar! Välj bland kantareller, champinjoner, portabello och många andra delikata svampsorter. Svampen kan med fördel användas till nästan allt inom matlagning; från soppor och smörgåsar till grytor och pajer.",,
183,Palsternacka,4781,palsternacka,1,,,
184,Rabarber,3226,rabarber,1,"Vårens godaste skörd finns i rabarberlandet! Har du inga egna rabarber går det alldeles utmärkt att köpa hem från oss på MatHem. Gör en sötsyrlig rabarberpaj, en törstsläckande saft eller fräsch rabarberkräm.",,
185,Kålrot,4781,kalrot,1,,,
187,Te,13,te,1,,,
188,"Torkade frukter & bär",4859,torkad-frukt-o-bar,1,,,
189,Kyckling,4442,kyckling,1,,,
194,Hummer,84,hummer,1,"Hummer är en riktig delikatess som många gånger serveras då det är dags för fest eller kalas. Passa på att beställa hem hummer från oss på MatHem, vi levererar din mat hela vägen hem till dig!",,
195,"Valcasotto ost",3062,valcasotto-ost,1,NULL,NULL,NULL
200,"Såser & Aromsmör",4,saser-o-aromsmor,1,,,
202,Kondisbitar,209,kondisbitar,1,"Om du inte har tid att gå på kondis för en fika, beställ hem kondisbitar och ta eftermiddagsbjudningen där hemma. Här finns mängder av smarriga godbitar att välja mellan, vad sägs om mazariner, delicatobollar eller kanske klassiska punschrullar?",,
207,"Bullar & Wienerbröd",209,bullar-o-wienerbrod,1,"Bjud på saftiga bullar och krispiga wienerbröd, här finns flera olika sorter att välja mellan. Perfekt att ha då det kommer besök, servera färska eller frys in och ta fram vid behov.",,
209,"Fikabröd & Tårtor",15,fikabrod-o-tartor,1,"Fikabröd, tårtor och underbara bakverk! Bjud in till ett härligt kaffekalas med färdiga bakverk som garanterat kommer att gå åt. Här finns allt från avancerade tårtor till burkar med småkakor som räcker länge.",,
210,"Tårtor & Efterrätter",209,tartor-o-efterratter,1,"Färdiga tårtor, både frusna och färska samt ljuvliga efterrätter, klara att ställa fram på bordet efter middagen eller då det är dags att fika. Här finns massor av härliga delikatesser att välja mellan.",,
211,"Deg & Bakmix",15,deg-o-bakmix,1,"Baka ditt eget bröd, med hjälp av deg- och bakmix gör du proceduren riktigt enkel och kan snabbt servera övriga familjemedlemmar supergott nybakt bröd, pizza eller bakverk. Här finns många olika sorter att välja mellan.",,
212,Tårtbotten,34,tartbotten,1,,,
216,Makrill,502,makrill,1,"Makrillfilé att tillaga själv eller makrill i tomatsås? Välj själv bland våra många alternativ på denna smakrika fisk som går att tillaga på flera sätt. Makrill i tomatsås är en klassiker på en bit knäckebröd.",,
222,"Svarte Petterost",3059,svarte-petterost,1,NULL,NULL,NULL
231,Juice,13,juice--saft-o-fruktdryck,1,"Juice är perfekt att ha hemma i kylskåpet, speciellt till frukost är det en riktig höjdare att ta sig ett glas tillsammans med en macka eller till gröten. Välj mellan olika smaker från välkända leverantörer.",,
232,Papaya,74,papaya,1,"Papaya är en härligt exotisk frukt som är god som den är, som ingrediens i en efterrätt, till en sallad eller i en smakrik smoothie. Här hittar du förstklassig papaya - du väljer, vi levererar direkt hem till dig.",,
233,Mango,74,mango,1,"Mango är en supergod ingrediens i smoothies, fruktsallader, matiga sallader och fräscha desserter. Köp hem färsk eller frusen mango så kan du kvickt röra ihop  något riktigt gott till kvällen!",,
234,"Tandkräm & Tandborstar",4856,munvard,1,"Frossa bland vårt stora lager av munvårdsprodukter! Tandkräm, tandborstar, tandtråd och massor med andra grejer för en fräsch munhygien. Här hittar du välkända varumärken och även ekologiska alternativ.",,"Köp artiklar för munvård i vårt Apotek på Mathem! Sveriges största matbutik på nätet med hemleverans från 0kr. Bli kund idag!"
235,Blommor,3814,blommor,1,"Njut av massor med blomster, både nya moderna varianter och sådana som vi är vana att se i fönster eller i trädgården. Många levande växter ger dessutom bättre luft där hemma.
Glöm inte att köpa med ett <a href=""https://www.mathem.se/varor/gratulationskort"">gratulationskort</a> om du planerar att ge bort en blomma.",,
236,Intimhygien,281,intimhygien,1,"Bindor, kondomer, tamponger och trosskydd - här har vi samlat det mesta inom kategorin intimprodukter. Här hittar du populära produkter och välkända varumärken, passa på att fylla upp badrumsskåpet så att det räcker ett tag.",,"Köp [category] i vårt Apotek på Mathem! Sveriges största matbutik på nätet med hemleverans från 0kr. Bli kund idag!"
238,Hårvård,4856,harvard,1,"Schampo, balsam, inpackning och hårfärg, förenkla din vardag genom att handla hem hårvårdsprodukter via oss på MatHem. Mängder av dofter och olika varianter att välja mellan beroende på om du har behandlat eller obehandlat hår samt ett bra utbud med olika hårfärger.",,
239,Rakartiklar,4856,rakartiklar,1,"Underlätta rakningen med nya rakblad och rakgel. För den där mysiga nyrakade känslan blir det som allra bäst genom att använda rakgel tillsammans med nya vassa blad. Här finns produkter som är anpassade för både kvinnor och män.",,"Köp [category] i vårt Apotek på Mathem! Sveriges största matbutik på nätet med hemleverans från 0kr. Bli kund idag!"
242,Ostkex,3808,smorgaskex,1,"Dags att duka upp en härlig ostbricka? Här har vi samlat goda och smakrika kex i smaker som gör att du gärna tar en tugga till! Välj bland både salta och söta kex, perfekt till vickningen eller om du bara är lite saltsugen.",,
243,Sirap,3821,sirap,1,,,
245,Yoghurt,19,yoghurt,1,"Yoghurt till frukost, till smoothien, turkisk yoghurt, smaksatt…njut av mängder av yoghurt i olika smaker och fetthalter. Här finns också smarta portionsförpackningar som blir ett utmärkt mellanmål eller att ta med i väskan och avnjuta under dagen.",,
246,"Barnmat 8 mån",4674,barnmat-8-man,1,,,
247,Barndryck,2806,barndryck,1,"Goda drycker i smarriga smaker till barnen. Perfekta förpackningar att ha med i väskan eller att ställa fram på bordet då det vankas lunch eller middag. Välj mellan flera olika fruktiga smaker som säkert blir poppis hos barnen.",,
248,"Barnmat 5-6 mån",4674,barnmat-5-6-man,1,,,
249,Senap,3826,senap,1,,,
250,Chokladkakor,6238,chokladkakor,1,"Här kan chokladälskaren välja bland riktiga klassiker från Marabou eller hitta en helt ny favorit från vårt stora sortiment. Mörk, ljus och vit choklad med olika smaksättningar, nästan så att man vill smaka en av varje!",,
251,Mineralvatten,13,mineralvatten,1,"Om du inte vill få i dig så mycket socker men ändå är sugen på en sprudlande dryck kan du välja bland våra många olika mineralvatten. Här kan du beställa allt från en enkel 33 cl burk till hela flak.",,
252,Tvättmedel,3971,tvattmedel,1,,,
254,Sportdryck,6433,sportdryck,1,"Återfå energi direkt efter träningen med hjälp av dessa välsmakande sportdrycker. Välj bland en mängd olika smaker som ger dig energi och får dig att orka hela dagen lång.",,
256,Honung,3821,honung,1,,,
257,Marmelad,3821,marmelad,1,,,
258,Saft,4760,saftflaskor---koncentrat,1,,,
259,"Godispåse - Skumgodis",4729,godispase---skumgodis,1,,,
260,Ris,25,ris,1,,,
261,"Baljväxter & Konserver",5,bonor-o-linser,1,,,
263,"Creme Fraiche Naturell",2903,creme-fraiche-naturell,1,"Naturell crème fraiche finns i flera olika fetthalter och storlekar på förpackningarna. Välj bland leverantörer som Arla, Garant och Valio.",,
266,Sötningsmedel,3821,sotningsmedel,1,,,
