categoryid,categoryname,parentcategoryid,categoryurl,ispublic,categoryintroduction,title,metadescription
267,"Yoghurt Smaksatt",245,yoghurt-smaksatt,1,"Smaksatt och söt yoghurt som knappast behöver en enda flinga för att tillfredsställa smaklökarna. Vanilj, jordgubb och hallon är bara några av smakerna i vårt stora sortiment!",,
268,"Soya- & Havreyoghurt",245,soya--o-havreyoghurt,1,"Soya- och havreyoghurt för dig som vill äta laktosfritt. Här finns både naturella och smaksatta varianter att välja mellan.",,
269,"Flingor, Müsli & Gröt",5,flingor-o-musli,1,,,
270,Bakpotatis,46,bakpotatis,1,,,
271,Smördeg,3454,smordeg,1,,,
275,Vaniljglass,3322,vaniljglass,1,,,
276,Pate,121,pate,1,,,
279,Babyskötsel,3909,babyskotsel,1,,,
280,Bomullspinnar,463,bomullspinnar,1,,,
281,"Dusch & Hygien",4856,badrumsartiklar,1,"Praktiska badrumsartiklar, lenande krämer, tvål och mjukgörande lotion - här hittar du allt du kan tänka dig gällande produkter som är bra att ha hemma i badrumsskåpet. Här har vi blandat nya spännande produkter med gamla klassiker som vi alla känner igen.",,
283,Stycksaker,6238,chokladstycksaker,1,"Plopp, twix, kexchoklad eller har du någon annan favorit? Här finns det mesta att välja inom chokladbitar. Köp hem ett storpack så har du i skafferiet då suget faller in eller då du vill ha något sött till kaffet.",,
284,Hälsodrycker,6433,halsodrycker-o-stilldrinkar,1,"Välgörande hälsodrycker med mängder av vitaminer! Här finns massor av törstsläckande goda drycker i flera olika smaker att avnjuta vid tillfälle. För dig som vill ha glutenfritt, ekologiskt eller laktosfritt finns även dessa alternativ.",,
288,"Godispåse - Kola",4729,godispase---kola,1,,,
291,Rengöringsmedel,23,rengoringsmedel,1,,,
294,Krustader,3808,krustader,1,"Fyll krustader med en röra och du har en förstklassig förrätt att bjuda på! Välj mellan stora eller små krustader i vårt sortiment. Röran kan du göra själv eller köpa hem färdig, sedan tar det bara några minuter innan du kan servera.",,
299,Modersmjölksersättning,2806,modersmjolksersattning,1,"För den som behöver modersmjölksersättning finns det allra mesta att hitta här i vårt stora sortiment. Hitta det du behöver bland märken som Nestlé och Semper. Du beställer - vi levererar hem till dig!",,
300,Barngröt,2806,barngrot,1,,,
301,"Barnmat över 12 mån",4674,barnmat-over-12-man,1,,,
302,"Barnmat 12 mån",4674,barnmat-12-man,1,,,
303,"Barnmat 4 mån",4674,barnmat-4-man,1,,,
304,"Pasta & Pastasås",5,pasta,1,,,
306,Kaffefilter,45,kaffefilter-blekta,1,,,
307,"Kaffefilter Oblekta",2902,kaffefilter-oblekta,1,,,
308,Tefilter,2902,tefilter,1,NULL,NULL,NULL
309,"Påsar, Folie & Bakformar",22,pasar-o-folie,1,"Påsar och formar i plast och aluminium är varor som går åt och som är bra att ha där hemma. Välj mellan plastpåsar i olika storlekar, rullar med folie och praktiska formar tillsammans med många andra varor.",,
312,Blomjord,3814,blomjord,1,"Dags att planera om eller sätta nya växter? Handla hem jord bland vårt sortiment, här finns både större och mindre säckar samt ekologiska alternativ till den som vill ha det.",,
314,Äppelmos,3851,applemos,1,,,
318,Tuggummi,3813,tuggummi,1,"Många är vi som gärna tar oss ett tuggummi under dagen, dels för den goda smakens skull men även för att det känns sådär härligt fräscht i munnen efter en stund tuggande. Köp hem tuggummi från MatHem, här finns mängder av smaker att välja mellan.",,
319,Halstabletter,3813,halstabletter,1,"Läkerol, Fisherman´s friend eller Vicks - här finns alla möjliga varianter av halstabletter som kan lindra vid halsont. Perfekt att ha med sig i väskan, i bilen eller att ha hemma vid behov.",,
320,Mozzarellaost,2,mozzarellaost,1,,,
321,Våtservetter,4017,vatservetter,1,"Våtservetter är en produkt som nästan är ett måste att ha med i skötväskan, i handväskan, i bilen, på resan och givetvis i hemmet. Här kan du välja mellan olika sorter; med eller utan parfym, anpassade för ansikte eller resten av kroppen samt ekologiska val.",,
322,Skorpor,2958,skorpor,1,"Kardemummaskorpor, fullkornsskorpor eller veteskorpor - oavsett vilken som är din favorit så kan du med stor sannolikhet hitta den här i vårt sortiment. Lika gott med lite smör, med salta pålägg eller med en klick sylt eller marmelad.",,
323,"Godispåse - Karameller",4729,godispase---karameller,1,,,
325,"Soppor Färdiga",454,soppor-fardiga,1,,,
326,Naturläkemedel,3831,naturlakemedel,1,"Snuvig, förkyld eller allmänt hängig? Klicka hem välgörande naturläkemedel så känner du dig förhoppningsvis i toppform snart igen. Här på sidan finns flera olika naturläkemedel som sägs vara bra mot bland annat förkylningar.",,"Köp naturläkemedel i vårt Apotek på Mathem! Sveriges största matbutik på nätet med hemleverans från 0kr. Bli kund idag!"
327,Marinader,544,marinader,1,,,
328,Tomatketchup,3826,tomatketchup,1,,,
332,"Halstabletter Påse",319,halstabletter-pase,1,,,
333,Chokladdryck,4706,chokladdryck,1,,,
334,"Barnmat Övrig",2806,barnmat-ovrig,1,,,
335,Russin,188,russin,1,,,
338,Kex,242,kex,1,"Kex till ostbrickan eller då du bara behöver något snabbt att mätta magen med. Duka upp med en smakrik ostbricka och låt frukt, ost och charkuterier trängas på brickan tillsammans med kexen.",,
342,Majonnäs,3826,majonnas,1,,,
346,"Internationella Köket",5712,internationella-koket,1,,,
349,Knäckebröd,2958,knackebrod,1,"Knäckebröd är en klassiker på det svenska frukostbordet eller som tillbehör till middagen. Bland vårt sortiment finns bland annat klassiska Wasabröd tillsammans med LCHF-knäckebröd och Leksandsbröd.",,
351,Nudlar,5712,nudlar,1,,,
353,"Soppor Pulver",454,soppor-pulver,1,"Enklare än att vispa ihop en pulversoppa kan det knappast bli! Perfekt att ha hemma om man vill ha en snabb lunch eller middag och värmande gott när som helst under dagen.",,
354,Vinäger,4962,vinager,1,,,
361,Näsdukar,4017,nasdukar,1,"Förkylningstider eller allergi - mjuka näsdukar är alltid bra att ha hemma, i handväskan eller i bilen. Välj bland varumärken som Gunry och Lambi eller hitta din personliga favorit här på sidan.",,"Köp näsdukar i vårt Apotek på Mathem! Sveriges största matbutik på nätet med hemleverans från 0kr. Bli kund idag!"
362,"Engelsk Konfekt",385,engelsk-konfekt,1,,,
363,"Vitaminer & Mineraler",3831,vitaminer-o-mineraler,1,"Berocca, C-vitamin, D-vitamin eller kanske järntabletter? Här finns massor av olika vitaminer och mineraler att välja mellan. Vitaminer och mineraler i tablett- och pulverform är perfekt för dig som behöver lite extra boost eller om du känner att du inte får i dig tillräckligt via maten.",,"Köp vitaminer & mineraler i vårt Apotek på Mathem! Sveriges största matbutik på nätet med hemleverans från 0kr. Bli kund idag!"
364,Tomatpuré,3826,tomatpure,1,,,
365,"Godispåse - Gelegodis",4729,godispase---gelegodis,1,,,
366,Fetaost,2,fetaost,1,,,
370,Chokladrullar,283,chokladrullar,1,,,
371,"Sockerfri choklad",6238,chokladkaka-sockerfri,1,,,
374,Mjölk,19,mjolk,1,"Mjölk kan vara det allra godaste att dricka till varenda måltid! Här finns mjölk i alla dess former; med låg eller högfetthalt, laktosfri och ekologisk. Leta fram din favorit och lägg in en beställning från oss, då slipper du bära hem alla varor själv.",,
375,Pepparkakor,1041,pepparkakor,1,"Julens allra kakigaste kaka som vi gärna drömmer om flera månader innan det är dags! Om du inte vill baka egna kan du köpa färdiga pepparkakor här från oss på MatHem.",,
376,Vatten,13,vatten,1,,,
377,Chilisås,3826,chilisas,1,,,
379,Konserveringsmedel,34,konserveringsmedel,1,,,
384,Glasstillbehör,24,dessertsas-o-topping,1,"Gör glassen till en riktig dröm med hjälp av dessa ljuvliga dessertsåser och toppingar. Välj bland choklad-, kola-, nougat och många andra smaker. Här finns även ekologiska och glutenfria alternativ för den som vill ha det.",,
385,Lakrits,3813,lakrits,1,"En dröm för lakritsälskaren - hitta din favorit eller testa nya varianter bland alla våra lakritssorter. För den som vill ha ekologisk, glutenfri eller laktosfri lakrits finns även detta som alternativ.",,
387,Socker,3821,socker,1,,,
390,"Öl upp till 2,8%",6066,ol-upp-till-2-8-,1,,,
392,Baguette,3117,baguette,1,"Den klassiska franska baguetten är en välkommen gäst till i stort sett alla måltider. Naturell eller med smak - det spelar ingen roll! Här finns allt från färska baguetter till bake-up-varianter som får den där härligt nybakta doften och smaken.",,
396,"Buljong & Fond",4,buljong-o-fond,1,,,
400,Cheddarost,3059,cheddarost,1,,,
401,"Mjuka Kakor",209,mjuka-kakor,1,"Mjuka kakor som både känns nybakta och hembakta. Då tiden inte räcker till att baka eget är det perfekt att köpa hem lite fika så det finns att bjuda på när tillfälle dyker upp. Välj bland smakrika muffins, sockerkakor och mycket annat.",,
404,"Fiskpinnar & Konserver",18,fiskpinnar-o-konserver,1,"Underlätta middagslagandet med färdiga fiskpinnar som du bara behöver värma i stekpanna eller ugn. Här finns även olika varianter av tonfisk som du snabbt kan göra en röra eller sås av. Mat som är perfekt att ha hemma i skafferi och frys då du behöver snabba middagar.",,
405,Vårrullar/Dumplings,4515,varrullardumplings,1,"Ta en genväg i köket genom att beställa hem färdiga vårrullar och dumplings. Ett utmärkt alternativ då du vill ha något extra gott men inte vill stå i timmar vid spisen.",,
406,Camembertost,3062,camembertost,1,,,
410,"Riven Mozzarellaost",3064,riven-mozzarellaost,1,,,
411,Matlagningsgrädde,3817,matlagningsgradde,1,"Matlagningsgrädde och mellangrädde är ett lite magrare alternativ till vispgrädden. Fungerar perfekt till såser eller i en gryta. Välj bland både laktosfria och ekologiska varianter här hos oss på MatHem.",,
413,Quinoa,3050,quinoa,1,,,
418,Kryddmix,4959,kryddmix-for-mat,1,,,
419,"Ålands Special",3059,alands-special,1,NULL,NULL,NULL
420,Gräddfil,4707,graddfil,1,"Blanda med kryddor och du har en smakrik dipp, blanda ihop en krämig röra med valfria ingredienser eller ha som ett tillbehör till en hettande rätt där gräddfilen ger en något mildare smak. Här finns vårt fina sortiment med smakrik gräddfil!",,
422,Emmentalerost,3059,emmentalerost,1,,,
423,"Mat & Bak Smör",480,mat-o-bak-smor,1,,,
424,Vispgrädde,3817,vispgradde,1,"Äkta vispgrädde är riktigt gott, både till matlagning och som tillbehör till bakelsen och såklart till tårtan! Här finns Arla, Valio och Skånemejerier tillsammans med flera andra!",,
425,"Filmjölk Naturell",4707,filmjolk-naturell,1,"Naturell filmjölk med musli, flingor eller kanske bär? Filmjölk passar dessutom riktigt bra till bakning, exempelvis om du ska baka ett saftigt matbröd.",,
427,"Yoghurt Naturell",245,yoghurt-naturell,1,"Naturell yoghurt från olika leverantörer och med olika fetthalt. Gott till frukost, i en smoothie eller att bara ta sig ett glas då man är sugen.",,
434,"Bordsask Margarin",3379,bordsask-margarin,1,"Glöm inte smöret till smörgåsen - har du bara ett gott smör behövs knappast något ytterligare pålägg till mackan! Här finns många bordsaskar att välja mellan med allt från klassiska Bregott till smör med lägre fetthalt och ekologiska alternativ.",,
435,"Pannkakor & Plättar",16,pannkakor-o-plattar,1,"Pannkakor och plättar är en favorit vid middagsbordet för många barn. Här kan du passa på att köpa hem färdiga plättar och pannkakor så behöver du inte tänka på att både vispa smet och steka. Servera gärna pannkakorna med grädde och sylt, eller gör en crêpes med salt fyllning.",,
437,Glasspinnar,5593,glasspinnar,1,"Får det lov att vara en glasspinne efter maten? En klar favorit hos många barn är glasspinnen, och dessutom enkelt att ta fram ur frysen en varm sommardag eller när man bara vill lyxa till det lite en vardag.",,
440,Sej,502,sej,1,"Sejen är släkt med torsken och är en alldeles utmärkt matfisk. Den blir bland annat riktigt god på grillen men du kan också välja att ha den i soppor eller i en gryta. Kika runt och hitta din favorit bland all vår sej.",,
441,Sill,3812,sill,1,"Senapssill, skärgårdssill eller löksill - här finns alla varianter! Vill du lägga in sillen själv så kan du köpa inläggningssill till detta. Sill är en klassiker som många äter året runt medan några håller sig till högtider som påsk, midsommar och jul.",,
444,Mesost,3061,mesost,1,,,
446,Drinkmix,6087,drinkmix-o-essenser,1,"Bli en riktigt bartender där hemma med hjälp av drinkmix och essenser i olika smaker. Det är riktigt skoj att bland till sina egna drinkar och bjuda på till hemmafesten.",,
447,Texmex,5712,texmex,1,,,
449,Köttfärs,5231,kottfars,1,"En ingrediens som är riktigt vanlig vid matlagning, kanske för att den går att variera hur mycket som helst? Välj bland större eller mindre förpackningar, här finns även ekologiska alternativ för den som vill ha det.",,
450,Ärtsoppa,325,artsoppa,1,,,
453,Växtnäringspreparat,3814,vaxtnaringspreparat,1,"Ledsna växter i fönstren? Ge dina blommor lite hjälp på traven med växtnäring eller praktiska näringspinnar. Många av produkterna ger växterna näring under lång tid efteråt.",,
454,Soppor,5536,soppor,1,"Soppa är nästan alltid gott, speciellt en dag då man känner sig frusen ända in i själen. Här kan du passa på att köpa hem smakliga soppor med smak av exempelvis svamp, linser, thai och tomat.",,
455,Gröt,269,grot,1,"Färdig gröt är en enkel men god maträtt att servera då tiden ska räcka till en massa annat. Värm i mikron eller på spisen så har du färdig lunch eller middag på bara några minuter.",,
456,Torrmjölk,4709,torrmjolk,1,,,
457,Välling,269,valling,1,,,
458,Brödmix,211,brodmix,1,"Oavsett om du vill baka vanligt bröd, glutenfritt eller LCHF-bröd finns här flera olika alternativ att välja mellan. Kavla upp ärmarna och sätt i gång en deg så fylls köket snart av ljuvlig doft!",,
459,Kruskakli,41,krusakli,1,,,
460,Ättika,4962,attika,1,,,
461,Potatismjöl,4722,potatismjol,1,,,
463,"Bomullspinnar & Pads",5257,kosmetik,1,"Praktiska produkter inom kategorin kosmetik; tops, bomull, bomullsrondeller eller aceton - det är bara att välja bland vårt stora sortiment. Passa på att handla hem så att det räcker länge och väl, du beställer - vi tar hand om leveransen.",,
469,Pajer,4691,pajer,1,"Grönsaks-, skinka-, kyckling eller köttfärs - vilken är din favorit då det är dags för paj? Här kan du köpa hem kylda eller frysta pajer i mängder av goda smaker. Perfekt att ha hemma då du vill servera en god middag snabbt.","Paj till kräftskiva är ett måste.","Paj till kräftskiva är ett måste. På MatHem hittar du flera olika sorter att välja mellan."
470,Daimglass,3322,daimglass,1,,,
471,Chokladglass,3322,chokladglass,1,,,
473,Redning,4722,redning,1,,,
474,Majsmjöl,41,majsmjol,1,,,
476,Dip,98,dip,1,,,
478,"Tablettaskar, Klubbor och andra småsaker",3813,tablettaskar--klubbor-och-andra-smasaker,1,"Kinderägg, klubbor och tablettaskar, här hittar du barnens alla favoriter till helgmyset. Passa på att handla hem till barnkalasets fiskedamm eller till tillfällen då ni vill lyxa till det lite extra.",,
480,"Mat & Bak Smör/Margarin",2996,mat-o-bak-smormargarin,1,,,
483,Dessertsoppor,592,dessertsoppor,1,"En kall soppa att ta med på utflykten, blåbärs-, frukt- och nyponsoppa är bara några av alternativen. Eller varför inte en härligt värmande klassisk varma koppen i någon smak som du tycker om? Välj här bland massor av alternativ till mellanmål och enkla desserter.",,
484,Kräm,5425,kram,1,,,
485,Bullar,207,bullar,1,,,
486,Grönsaksblandningar,3227,gronsaksblandningar,1,"Frysta eller konserverade grönsaksblandningar är alltid bra att ha där hemma. Koka upp eller woka då du inte har färska grönsaker hemma, ett perfekt tillbehör till middagen eller som utfyllnad och smaksättning i exempelvis en gryta.",,
487,Broccoli,3227,broccoli,1,,,
488,Brysselkål,158,brysselkal,1,,,
489,Majskorn,261,majskorn,1,,,
490,Ärtor,4782,artor,1,,,
491,Wokmix,486,wokmix,1,,,
494,Majskolvar,2927,majskolvar,1,,,
497,"Spenat Blad",625,spenat-blad,1,,,
499,Kronärtskocka,3227,kronartskocka,1,"Den vitamin- och mineralrika kronärtskockan är underbart god att koka, ugnsbaka eller att lägga in. Ät den varm med smör eller gör en egen Quattro Stagioni-pizza där hemma.",,
501,Hokifilé,502,hokifile,1,"Hoki är en torskliknande fisk som passar riktigt bra till både grytor, i soppor eller i en gratäng. Med riktigt gott kött är det enkelt att tillaga ljuvliga måltider med hjälp av hokifilé.",,
502,Fisk,18,fisk,1,"Fisk är både gott och nyttigt och går att tillaga på en mängd olika sätt. Här i vårt stora sortiment kan du bland annat handla hem torsk, sej, räkor, bläckfisk och massor av andra fiskar och skaldjur, många finns även att välja ekologiska.",,
505,Rödbetor,4781,rodbetor,1,"Rödbetor är lika goda färska såväl som inlagda!  I vårt sortiment finns både färska, frysta och inlagda rödbetor. Tips: Skiva betorna tunt och rosta i ugn med olja, ett riktigt höjdartillbehör!",,
506,"Haricot Verts",4782,haricot-verts,1,,,
508,Plåster,4017,plaster,1,"Här hittar du högkvalitativa plåster från välkända varumärken som Salvequick. Om barnet gör sig illa lindrar det genast med ett plåster med skojigt motiv. Här finns också fotplåster och vattentäta plåster som passar bra ifall du ska bada eller duscha.",,"Köp plåster i vårt Apotek på Mathem! Sveriges största matbutik på nätet med hemleverans från 0kr. Bli kund idag!"
509,Rödspätta,502,rodspatta,1,"Smörstekt rödspätta, panerad rödspätta eller en krämig fiskgratäng? Du väljer själv, vi har fisken! Rödspätta är gott och tacksamt att tillaga då köttet passar till mycket och går att variera hur mycket som helst. För den som vill så finns det även färdigpanerad rödspätta, plättlätt!",,
510,Matjessill,441,matjesill,1,,,
