TagID,TagName,productname,productid,EanCode
61336,"Diverse länder","Röda Kundfavoriter",127363,100524904
61339,"Blandade länder och distrikt","Röda Kundfavoriter",127363,100524904
57101,Winefinder,"Prova på världens viner",127366,100524905
2872,vin,"Prova på världens viner",127366,100524905
61435,Okänt,"Prova på världens viner",127366,100524905
3202,lättöl,"Grängesberg 2,1% Helback 20x33cl",127393,7310401020631
9367,storpack,"Grängesberg 2,1% Helback 20x33cl",127393,7310401020631
3202,lättöl,"Öl 2,1% 33cl Grängesberg ",127399,7310401026725
89050,burköl,"Öl 2,1% 33cl Grängesberg ",127399,7310401026725
89053,ölburk,"Öl 2,1% 33cl Grängesberg ",127399,7310401026725
15650,påskmat,"Alkoholfri Påskbrygd 33cl eg Mariestads",127405,7310401027012
69412,påskdricka,"Alkoholfri Påskbrygd 33cl eg Mariestads",127405,7310401027012
15650,påskmat,"Påskmust EKO 33cl Nygårda",127408,7310401026701
69412,påskdricka,"Påskmust EKO 33cl Nygårda",127408,7310401026701
15650,påskmat,"Påskbrygd 3,5% 50cl Mariestads",127411,7310400023169
69412,påskdricka,"Påskbrygd 3,5% 50cl Mariestads",127411,7310400023169
94426,midsommarmat,"Carlsberg  EKO 3,5% 10x33cl",127423,7310074003917
15791,midsommar,"Carlsberg  EKO 3,5% 10x33cl",127423,7310074003917
93529,pepsi_tavling,"Pepsi Max 4x150cl",127432,7310074715087
3202,lättöl,"Pripps Blå 2,2% 6x33cl",127435,7310072000031
89050,burköl,"Pripps Blå 2,2% 6x33cl",127435,7310072000031
89053,ölburk,"Pripps Blå 2,2% 6x33cl",127435,7310072000031
62569,torsk,"Torskloin Skrei MSC-märkt ca 600g MatHem",127438,445724680
104689,Skreifilé,"Torskloin Skrei MSC-märkt ca 600g MatHem",127438,445724680
3494,"färsk fisk","Torskloin Skrei MSC-märkt ca 600g MatHem",127438,445724680
57101,Winefinder,"Chateau Pesquie Quintessence 2010 2 x 750 ml",127441,100025174
2872,vin,"Chateau Pesquie Quintessence 2010 2 x 750 ml",127441,100025174
57119,Grenache,"Chateau Pesquie Quintessence 2010 2 x 750 ml",127441,100025174
57137,Syrah,"Chateau Pesquie Quintessence 2010 2 x 750 ml",127441,100025174
61204,Frankrike,"Chateau Pesquie Quintessence 2010 2 x 750 ml",127441,100025174
61408,"Cotes du Ventoux","Chateau Pesquie Quintessence 2010 2 x 750 ml",127441,100025174
57101,Winefinder,"Bodegas Mano a Mano Mordaz Tempranillo 2014 2 x 750 ml",127444,100025175
2872,vin,"Bodegas Mano a Mano Mordaz Tempranillo 2014 2 x 750 ml",127444,100025175
57104,Tempranillo,"Bodegas Mano a Mano Mordaz Tempranillo 2014 2 x 750 ml",127444,100025175
61198,Spanien,"Bodegas Mano a Mano Mordaz Tempranillo 2014 2 x 750 ml",127444,100025175
61315,"La Mancha","Bodegas Mano a Mano Mordaz Tempranillo 2014 2 x 750 ml",127444,100025175
57101,Winefinder,"Craggy Range Sauvignon Blanc Te Muna Road 2015 2 x 750 ml",127447,100025178
2872,vin,"Craggy Range Sauvignon Blanc Te Muna Road 2015 2 x 750 ml",127447,100025178
57233,"Sauvignon Blanc","Craggy Range Sauvignon Blanc Te Muna Road 2015 2 x 750 ml",127447,100025178
61456,"Nya Zeeland","Craggy Range Sauvignon Blanc Te Muna Road 2015 2 x 750 ml",127447,100025178
61504,Martinborough,"Craggy Range Sauvignon Blanc Te Muna Road 2015 2 x 750 ml",127447,100025178
